stop_id,stop_name,latitude,longitude,platform_code,platform_name,municipality,wheelchair_accessible,parent_station,adress,description,zone,route_type
6394,Beacon St @ Metropolitan Ave,42.255414,-71.112847,,,Boston,1,,,,LocalBus,3
191,Congress St @ North St,42.360387,-71.057129,,,Boston,1,,,,ExpressBus-Downtown,3
4367,Pleasant St @ Mathaurs St,42.249623,-71.064182,,,Milton,1,,,,LocalBus,3
5397,Main St @ Floyd St,42.413477,-71.063608,,,Everett,1,,,,LocalBus,3
5986,Pleasant St @ Converse Ln,42.44649,-71.071853,,,Melrose,1,,,,LocalBus,3
5816,200 Endicott Ave,42.396329,-70.984086,,,Revere,1,,,,LocalBus,3
49829,45 Bow St,42.485319,-71.14078,,,Woburn,1,,,,LocalBus,3
2865,Bunker Hill St @ N Mead St,42.381137,-71.066955,,,Boston,1,,,,LocalBus,3
10835,Dedham Mall @ South Side,42.253283,-71.170494,,,Dedham,1,,,,LocalBus,3
4604,North St @ Liberty Hill Ave,42.529932,-70.906347,,,Salem,1,,,,LocalBus,3
5484,Broadway @ Cameron St,42.420212,-71.044062,,,Everett,1,,,,LocalBus,3
2854,Adams St @ Lowney Way,42.374386,-71.058189,,,Boston,1,,,,LocalBus,3
2032,Mt Auburn St @ Saint Marys St,42.3739,-71.152444,,,Watertown,0,,,,LocalBus,3
6848,Eastern Ave @ Alden St,42.481184,-70.936112,,,Lynn,1,,,,LocalBus,3
6202,Park Ave @ Appleton St,42.421252,-71.182991,,,Arlington,0,,,,LocalBus,3
6252,Malden St @ Conant St,42.419713,-71.013275,,,Revere,1,,,,LocalBus,3
78219,Washington St @ Prospect St,42.345723,-71.233334,,,Newton,1,,,,LocalBus,3
577,River St opp Leahaven Rd,42.27135,-71.082411,,,Boston,1,,,,LocalBus,3
9235,Main St @ E Highland Ave,42.469127,-71.061085,,,Melrose,1,,,,LocalBus,3
5486,Broadway @ Edith Ave,42.417359,-71.046423,,,Everett,1,,,,LocalBus,3
5345,Ferry St opp Clayton St,42.422736,-71.061542,,,Malden,1,,,,LocalBus,3
1751,106 Heath St opp Bickford Ave,42.326316,-71.101936,,,Boston,1,,,,LocalBus,3
895,E Broadway @ N St,42.335747,-71.031442,,,Boston,1,,,,LocalBus,3
832,Stimson St @ Washington St,42.260206,-71.158675,,,Boston,1,,,,LocalBus,3
5886,Waldemar Ave @ McClellan Hwy,42.39341,-71.011238,,,Boston,1,,,,LocalBus,3
1886,Weld St @ Avalon Rd,42.291864,-71.15855,,,Boston,1,,,,LocalBus,3
7954,Washington St @ Candia St,42.425213,-71.168978,,,Arlington,1,,,,LocalBus,3
12852,Vine St @ Bunker Hill St,42.376958,-71.05686,,,Boston,1,,,,LocalBus,3
1366,Huntington Ave @ Riverway,42.331966,-71.113099,,,Boston,1,,,,LocalBus,3
7583,288 Main St,42.470739,-71.032565,,,Saugus,1,,,,LocalBus,3
3822,Washington St @ King Ave,42.211849,-70.96005,,,Weymouth,1,,,,LocalBus,3
9284,Cordis St @ Vernon St,42.515864,-71.06573,,,Wakefield,1,,,,LocalBus,3
