vehicle_id,vehicle_label,stop_status,stop_sequence,direction_id,latitude,longitude,bearing,speed,timestamp,trip_id,trip_short_name,bikes_allowed,headsign,stop,stop_name,route_id,parent_station
O-54764EBA,1428,IN_TRANSIT_TO,30,1,42.31828,-71.10367,30,,2023-04-27 15:27:05-04:00,56494282,,0,Oak Grove,70007,Jackson Square,Orange,place-jaksn
B-547658FE,0765,STOPPED_AT,70,1,42.38688,-71.00469,55,,2023-04-27 15:26:54-04:00,55458815-19:45-GovernmentCenterWonderlandSuspend,,0,Wonderland,70052,Orient Heights,Blue,place-orhte
R-5476570B,1507,STOPPED_AT,190,1,42.37432,-71.1186,350,,2023-04-27 15:26:34-04:00,ADDED-1581508208,,0,Alewife,70068,Harvard,Red,place-harsq
B-54765720,0759,STOPPED_AT,70,0,42.36923,-71.03944,215,,2023-04-27 15:26:39-04:00,ADDED-1581508248,,0,Bowdoin,70045,Maverick,Blue,place-mvbcl
R-547651F2,1827,IN_TRANSIT_TO,100,0,42.34759,-71.05417,210,,2023-04-27 15:27:25-04:00,ADDED-1581508226,,0,Ashmont,70081,Broadway,Red,place-brdwy
R-54764C97,1807,STOPPED_AT,50,1,42.28458,-71.06377,330,,2023-04-27 15:17:26-04:00,ADDED-1581508238,,0,Alewife,70094,Ashmont,Red,place-asmnl
B-5476590D,0775,IN_TRANSIT_TO,50,1,42.37022,-71.0385,45,,2023-04-27 15:27:27-04:00,55458817-19:45-GovernmentCenterWonderlandSuspend,,0,Wonderland,70048,Airport,Blue,place-aport
O-54765866,1476,IN_TRANSIT_TO,20,0,42.42322,-71.07574,200,,2023-04-27 15:26:51-04:00,56494377,,0,Forest Hills,70032,Wellington,Orange,place-welln
B-54765917,0784,INCOMING_AT,90,0,42.35937,-71.05298,260,,2023-04-27 15:27:32-04:00,55458942-19:45-GovernmentCenterWonderlandSuspend,,0,Bowdoin,70041,State,Blue,place-state
R-547656F4,1702,IN_TRANSIT_TO,80,1,42.3028,-71.05578,5,,2023-04-27 15:27:22-04:00,ADDED-1581508237,,0,Alewife,70088,Savin Hill,Red,place-shmnl
B-54765710,0710,STOPPED_AT,60,1,42.37968,-71.02276,65,,2023-04-27 15:26:20-04:00,55458816-19:45-GovernmentCenterWonderlandSuspend,,0,Wonderland,70050,Wood Island,Blue,place-wimnl
R-547656ED,1813,STOPPED_AT,1,0,42.39621,-71.14054,85,,2023-04-27 15:10:22-04:00,ADDED-1581508246,,0,Ashmont,Alewife-01,Alewife,Red,place-alfcl
R-54765756,1841,INCOMING_AT,220,1,42.39601,-71.14006,85,,2023-04-27 15:27:26-04:00,ADDED-1581508249,,0,Alewife,70061,Alewife,Red,place-alfcl
R-547651FB,1631,IN_TRANSIT_TO,10,0,42.39758,-71.12875,95,,2023-04-27 15:27:27-04:00,ADDED-1581508255,,0,Braintree,70063,Davis,Red,place-davis
R-54765600,1835,IN_TRANSIT_TO,210,1,42.38923,-71.11931,0,,2023-04-27 15:27:17-04:00,ADDED-1581508211,,0,Alewife,70064,Davis,Red,place-davis
O-547654C9,1474,INCOMING_AT,80,1,42.34759,-71.06723,50,,2023-04-27 15:26:46-04:00,56494281,,0,Oak Grove,70017,Tufts Medical Center,Orange,place-tumnl
R-54765877,1720,IN_TRANSIT_TO,180,0,42.31119,-71.05323,200,,2023-04-27 15:25:36-04:00,ADDED-1581508118,,0,Braintree,70097,North Quincy,Red,place-nqncy
R-547640BB,1504,INCOMING_AT,20,1,42.2499,-71.00417,330,,2023-04-27 15:27:03-04:00,ADDED-1581508242,,0,Alewife,70102,Quincy Center,Red,place-qnctr
O-547656FB,1430,INCOMING_AT,60,0,42.36912,-71.06372,150,,2023-04-27 15:27:14-04:00,56494376,,0,Forest Hills,70026,North Station,Orange,place-north
B-547656EF,0741,STOPPED_AT,10,0,42.40776,-70.99253,170,,2023-04-27 15:26:54-04:00,ADDED-1581508256,,0,Bowdoin,70057,Revere Beach,Blue,place-rbmnl
R-547645A6,1615,INCOMING_AT,190,0,42.27433,-71.02866,135,,2023-04-27 15:27:03-04:00,ADDED-1581508221,,0,Braintree,70099,Wollaston,Red,place-wlsta
R-54763D23,1645,INCOMING_AT,110,1,42.32589,-71.05635,305,,2023-04-27 15:27:28-04:00,56494828,,0,Alewife,70084,Andrew,Red,place-andrw
O-54764837,1410,STOPPED_AT,1,1,42.30122,-71.11384,30,,2023-04-27 15:20:54-04:00,56494283,,0,Oak Grove,Forest Hills-02,Forest Hills,Orange,place-forhl
B-5476592C,0734,STOPPED_AT,40,0,42.38689,-71.00478,235,,2023-04-27 15:24:19-04:00,55458944-19:45-GovernmentCenterWonderlandSuspend,,0,Bowdoin,70051,Orient Heights,Blue,place-orhte
R-54763E89,1622,IN_TRANSIT_TO,40,0,42.3723,-71.11585,135,,2023-04-27 15:27:28-04:00,ADDED-1581508244,,0,Ashmont,70069,Central,Red,place-cntsq
R-547644FA,1865,STOPPED_AT,220,0,42.20749,-71.00156,190,,2023-04-27 15:23:13-04:00,ADDED-1581508202,,0,Braintree,Braintree-01,Braintree,Red,place-brntn
R-54765620,1854,IN_TRANSIT_TO,100,1,42.28579,-71.03854,330,,2023-04-27 15:25:57-04:00,56494829,,0,Alewife,70096,JFK/UMass,Red,place-jfk
R-5476379D,1709,IN_TRANSIT_TO,120,0,42.32915,-71.05668,200,,2023-04-27 15:27:18-04:00,56494883,,0,Braintree,70095,JFK/UMass,Red,place-jfk
B-547656F2,0743,STOPPED_AT,110,1,42.4135,-70.99162,20,,2023-04-27 15:26:39-04:00,55458814-19:45-GovernmentCenterWonderlandSuspend,,0,Wonderland,70060,Wonderland,Blue,place-wondl
R-5476573C,1732,STOPPED_AT,150,1,42.3565,-71.06263,310,,2023-04-27 15:27:21-04:00,ADDED-1581508210,,0,Alewife,70076,Park Street,Red,place-pktrm
1804,1804,STOPPED_AT,30,1,42.26718521118164,-71.5235595703125,76,1.3,2023-04-27 15:26:56-04:00,CR-554474-522,522,1,South Station,WML-0274,Southborough,CR-Worcester,place-WML-0274
1627,1627,IN_TRANSIT_TO,50,1,42.4071159362793,-71.32109832763672,168,22.4,2023-04-27 15:26:58-04:00,CR-553767-420,420,1,North Station,FR-0132,Kendal Green,CR-Fitchburg,place-FR-0132
1635,1635,STOPPED_AT,80,0,42.6758918762207,-70.84105682373047,20,,2023-04-27 15:27:01-04:00,CR-592911-153-Rockport,153,1,Newburyport,ER-0276-S,Ipswich,CR-Newburyport,place-ER-0276
1631,1631,STOPPED_AT,0,0,42.36644744873047,-71.06220245361328,348,,2023-04-27 15:27:05-04:00,CR-592938-155-Rockport,155,2,Newburyport,BNT-0000-03,North Station,CR-Newburyport,place-north
1715,1715,IN_TRANSIT_TO,20,0,42.3175048828125,-71.05207824707031,177,10.7,2023-04-27 15:26:45-04:00,CR-554473-085,085,1,Greenbush,MM-0079-S,Quincy Center,CR-Greenbush,place-qnctr
1703,1703,IN_TRANSIT_TO,90,0,41.840850830078125,-71.41688537597656,180,10.7,2023-04-27 15:27:01-04:00,CR-574071-819,819,1,Wickford Junction,NEC-1851,Providence,CR-Providence,place-NEC-1851
1708,1708,STOPPED_AT,40,1,42.25407409667969,-71.12618255615234,19,,2023-04-27 15:26:47-04:00,CR-573244-878,878,1,South Station,NEC-2203,Hyde Park,CR-Providence,place-NEC-2203
